"Vármegye","Egyéni választókerület","Választókerület jelöltjeire szavazók aktuális száma","Hazai szavazókörben lakcím szerint szavazók száma","Belföldön más OEVK-ba átjelentkezettek száma","Külképviseleten szavazók száma","Választókerületi névjegyzékben szereplő választópolgárok aktuális száma","Hazai szavazókörben lakcím szerint szavazók száma ","OEVK-ba átjelentkezett szavazók száma"
"Pest vármegye","Pest vármegye, 01. számú egyéni választókerület","79 697","76 774","1 875","1 048","79 013","76 774","2 239"
"Pest vármegye","Pest vármegye, 02. számú egyéni választókerület","77 899","74 355","1 707","1 837","77 810","74 355","3 455"
"Pest vármegye","Pest vármegye, 03. számú egyéni választókerület","81 966","78 524","1 826","1 616","81 357","78 524","2 833"
"Pest vármegye","Pest vármegye, 04. számú egyéni választókerület","76 347","72 823","2 136","1 388","75 906","72 823","3 083"
"Pest vármegye","Pest vármegye, 05. számú egyéni választókerület","75 970","73 115","1 580","1 275","75 672","73 115","2 557"
"Pest vármegye","Pest vármegye, 06. számú egyéni választókerület","76 910","74 005","1 737","1 168","76 721","74 005","2 716"
"Pest vármegye","Pest vármegye, 07. számú egyéni választókerület","76 364","73 951","1 771","642","75 632","73 951","1 681"
"Pest vármegye","Pest vármegye, 08. számú egyéni választókerület","70 458","68 328","1 373","757","70 434","68 328","2 106"
"Pest vármegye","Pest vármegye, 09. számú egyéni választókerület","76 095","73 584","1 872","639","75 636","73 584","2 052"
"Pest vármegye","Pest vármegye, 10. számú egyéni választókerület","74 489","71 743","1 797","949","73 891","71 743","2 148"
"Pest vármegye","Pest vármegye, 11. számú egyéni választókerület","74 853","72 240","1 834","779","74 382","72 240","2 142"
"Pest vármegye","Pest vármegye, 12. számú egyéni választókerület","73 950","71 546","1 977","427","72 672","71 546","1 126"
"Pest vármegye","Pest vármegye, 13. számú egyéni választókerület","70 108","68 097","1 563","448","69 487","68 097","1 390"
"Pest vármegye","Pest vármegye, 14. számú egyéni választókerület","73 465","71 318","1 645","502","72 219","71 318","901"
"Somogy vármegye","Somogy vármegye, 01. számú egyéni választókerület","59 134","56 376","2 139","619","57 520","56 376","1 144"
"Somogy vármegye","Somogy vármegye, 02. számú egyéni választókerület","57 039","54 753","1 923","363","55 384","54 753","631"
"Somogy vármegye","Somogy vármegye, 03. számú egyéni választókerület","60 993","57 841","2 598","554","59 396","57 841","1 555"
"Somogy vármegye","Somogy vármegye, 04. számú egyéni választókerület","63 495","59 901","2 902","692","62 250","59 901","2 349"
"Szabolcs-Szatmár-Bereg vármegye","Szabolcs-Szatmár-Bereg vármegye, 01. számú egyéni választókerület","71 789","67 893","2 985","911","69 802","67 893","1 909"
"Szabolcs-Szatmár-Bereg vármegye","Szabolcs-Szatmár-Bereg vármegye, 02. számú egyéni választókerület","70 933","68 228","2 224","481","68 642","68 228","414"
"Szabolcs-Szatmár-Bereg vármegye","Szabolcs-Szatmár-Bereg vármegye, 03. számú egyéni választókerület","75 651","72 477","2 737","437","73 039","72 477","562"
"Szabolcs-Szatmár-Bereg vármegye","Szabolcs-Szatmár-Bereg vármegye, 04. számú egyéni választókerület","70 033","66 542","3 099","392","67 193","66 542","651"
